indicator,time_period,value,unit_measure
GOV_WGI_CC,1996,-0.224841,U
GOV_WGI_CC,1998,-0.417484,U
GOV_WGI_CC,2000,-0.305116,U
GOV_WGI_CC,2002,-0.56214,U
GOV_WGI_CC,2003,-0.548224,U
GOV_WGI_CC,2004,-0.405483,U
GOV_WGI_CC,2005,-0.38908,U
GOV_WGI_CC,2006,-0.320852,U
GOV_WGI_CC,2007,-0.404287,U
GOV_WGI_CC,2008,-0.413776,U
GOV_WGI_CC,2009,-0.397007,U
GOV_WGI_CC,2010,-0.367297,U
GOV_WGI_CC,2011,-0.339635,U
GOV_WGI_CC,2012,-0.516814,U
GOV_WGI_CC,2013,-0.517294,U
GOV_WGI_CC,2014,-0.666054,U
GOV_WGI_CC,2015,-0.645136,U
GOV_WGI_CC,2016,-0.219363,U
GOV_WGI_CC,2017,-0.178142,U
GOV_WGI_CC,2018,-0.005735,U
GOV_WGI_CC,2019,-0.084705,U
GOV_WGI_CC,2020,-0.13447,U
GOV_WGI_CC,2021,-0.32733,U
GOV_WGI_CC,2022,-0.340233,U
GOV_WGI_CC,2023,-0.354078,U
GOV_WGI_CC,2024,-0.325708,U
GOV_WGI_GE,1996,0.199457,U
GOV_WGI_GE,1998,0.065758,U
GOV_WGI_GE,2000,0.010782,U
GOV_WGI_GE,2002,-0.225256,U
GOV_WGI_GE,2003,-0.135875,U
GOV_WGI_GE,2004,-0.023834,U
GOV_WGI_GE,2005,0.013348,U
GOV_WGI_GE,2006,0.05189,U
GOV_WGI_GE,2007,0.000855,U
GOV_WGI_GE,2008,-0.071041,U
GOV_WGI_GE,2009,-0.05848,U
GOV_WGI_GE,2010,0.007236,U
GOV_WGI_GE,2011,0.07173,U
GOV_WGI_GE,2012,0.001394,U
GOV_WGI_GE,2013,-0.016257,U
GOV_WGI_GE,2014,0.178178,U
GOV_WGI_GE,2015,0.118702,U
GOV_WGI_GE,2016,0.342763,U
GOV_WGI_GE,2017,0.295653,U
GOV_WGI_GE,2018,0.257748,U
GOV_WGI_GE,2019,0.262957,U
GOV_WGI_GE,2020,0.148927,U
GOV_WGI_GE,2021,0.112565,U
GOV_WGI_GE,2022,0.108586,U
GOV_WGI_GE,2023,0.061473,U
GOV_WGI_GE,2024,0.183748,U
WB_CCDFS_GGDY,1992,24.961,PT
WB_CCDFS_GGDY,1993,26.893,PT
WB_CCDFS_GGDY,1994,28.426,PT
WB_CCDFS_GGDY,1995,30.749,PT
WB_CCDFS_GGDY,1996,32.551,PT
WB_CCDFS_GGDY,1997,31.676,PT
WB_CCDFS_GGDY,1998,34.147,PT
WB_CCDFS_GGDY,1999,38.917,PT
WB_CCDFS_GGDY,2000,40.833,PT
