indicator,time_period,value,unit_measure
WB_WDI_NY_GDP_PCAP_CD,1960,450.776317,USD
WB_WDI_NY_GDP_PCAP_CD,1961,371.395176,USD
WB_WDI_NY_GDP_PCAP_CD,1962,312.43541,USD
WB_WDI_NY_GDP_PCAP_CD,1963,364.743594,USD
WB_WDI_NY_GDP_PCAP_CD,1964,435.763463,USD
WB_WDI_NY_GDP_PCAP_CD,1965,450.049783,USD
WB_WDI_NY_GDP_PCAP_CD,1966,444.623112,USD
WB_WDI_NY_GDP_PCAP_CD,1967,453.645286,USD
WB_WDI_NY_GDP_PCAP_CD,1968,445.227989,USD
WB_WDI_NY_GDP_PCAP_CD,1969,520.843985,USD
WB_WDI_NY_GDP_PCAP_CD,1970,465.04032,USD
WB_WDI_NY_GDP_PCAP_CD,1971,434.41588,USD
WB_WDI_NY_GDP_PCAP_CD,1972,487.972047,USD
WB_WDI_NY_GDP_PCAP_CD,1973,578.954931,USD
WB_WDI_NY_GDP_PCAP_CD,1974,953.846558,USD
WB_WDI_NY_GDP_PCAP_CD,1975,1086.176151,USD
WB_WDI_NY_GDP_PCAP_CD,1976,1241.910985,USD
WB_WDI_NY_GDP_PCAP_CD,1977,1464.940584,USD
WB_WDI_NY_GDP_PCAP_CD,1978,1541.137604,USD
WB_WDI_NY_GDP_PCAP_CD,1979,1783.292806,USD
WB_WDI_NY_GDP_PCAP_CD,1980,2189.784177,USD
WB_WDI_NY_GDP_PCAP_CD,1981,2600.571528,USD
WB_WDI_NY_GDP_PCAP_CD,1982,2314.383545,USD
WB_WDI_NY_GDP_PCAP_CD,1983,1940.233932,USD
WB_WDI_NY_GDP_PCAP_CD,1984,1863.682135,USD
WB_WDI_NY_GDP_PCAP_CD,1985,1841.779055,USD
WB_WDI_NY_GDP_PCAP_CD,1986,1604.246981,USD
WB_WDI_NY_GDP_PCAP_CD,1987,1426.016292,USD
WB_WDI_NY_GDP_PCAP_CD,1988,1303.779061,USD
WB_WDI_NY_GDP_PCAP_CD,1989,1356.280456,USD
