indicator,time_period,value,unit_measure
GOV_WGI_CC,1996,-0.777785,U
GOV_WGI_CC,1998,-0.778898,U
GOV_WGI_CC,2000,-0.564655,U
GOV_WGI_CC,2002,-0.799632,U
GOV_WGI_CC,2003,-0.811933,U
GOV_WGI_CC,2004,-0.594333,U
GOV_WGI_CC,2005,-0.639466,U
GOV_WGI_CC,2006,-0.646603,U
GOV_WGI_CC,2007,-0.612308,U
GOV_WGI_CC,2008,-0.460048,U
GOV_WGI_CC,2009,-0.512253,U
GOV_WGI_CC,2010,-0.620941,U
GOV_WGI_CC,2011,-0.551837,U
GOV_WGI_CC,2012,-0.769241,U
GOV_WGI_CC,2013,-0.720212,U
GOV_WGI_CC,2014,-0.870797,U
GOV_WGI_CC,2015,-0.906748,U
GOV_WGI_CC,2016,-0.873698,U
GOV_WGI_CC,2017,-0.883921,U
GOV_WGI_CC,2018,-0.972041,U
GOV_WGI_CC,2019,-1.003857,U
GOV_WGI_CC,2020,-1.099881,U
GOV_WGI_CC,2021,-1.217909,U
GOV_WGI_CC,2022,-1.216663,U
GOV_WGI_CC,2023,-1.086913,U
GOV_WGI_CC,2024,-0.948265,U
GOV_WGI_GE,1996,-0.944999,U
GOV_WGI_GE,1998,-0.728223,U
GOV_WGI_GE,2000,-1.047024,U
GOV_WGI_GE,2002,-0.926044,U
GOV_WGI_GE,2003,-0.946189,U
GOV_WGI_GE,2004,-0.889665,U
GOV_WGI_GE,2005,-0.89905,U
GOV_WGI_GE,2006,-0.700804,U
GOV_WGI_GE,2007,-0.672582,U
GOV_WGI_GE,2008,-0.64902,U
GOV_WGI_GE,2009,-0.581593,U
GOV_WGI_GE,2010,-0.607393,U
GOV_WGI_GE,2011,-0.68136,U
GOV_WGI_GE,2012,-0.692263,U
GOV_WGI_GE,2013,-0.64526,U
GOV_WGI_GE,2014,-0.572186,U
GOV_WGI_GE,2015,-0.652723,U
GOV_WGI_GE,2016,-0.675754,U
GOV_WGI_GE,2017,-0.698204,U
GOV_WGI_GE,2018,-0.765142,U
GOV_WGI_GE,2019,-0.777929,U
GOV_WGI_GE,2020,-0.776452,U
GOV_WGI_GE,2021,-0.744434,U
GOV_WGI_GE,2022,-0.884207,U
GOV_WGI_GE,2023,-0.862881,U
GOV_WGI_GE,2024,-0.90937,U
WB_CCDFS_GGDY,2000,17.999,PT
WB_CCDFS_GGDY,2001,19.11,PT
WB_CCDFS_GGDY,2002,17.362,PT
WB_CCDFS_GGDY,2003,19.803,PT
WB_CCDFS_GGDY,2004,20.553,PT
WB_CCDFS_GGDY,2005,20.017,PT
WB_CCDFS_GGDY,2006,20.86,PT
WB_CCDFS_GGDY,2007,20.779,PT
WB_CCDFS_GGDY,2008,19.57,PT
WB_CCDFS_GGDY,2009,22.78,PT
WB_CCDFS_GGDY,2010,24.006,PT
