indicator,time_period,value,unit_measure
WB_WDI_NY_GDP_PCAP_CD,1960,230.667391,USD
WB_WDI_NY_GDP_PCAP_CD,1961,237.266658,USD
WB_WDI_NY_GDP_PCAP_CD,1962,244.012091,USD
WB_WDI_NY_GDP_PCAP_CD,1963,246.561283,USD
WB_WDI_NY_GDP_PCAP_CD,1964,255.903509,USD
WB_WDI_NY_GDP_PCAP_CD,1965,273.877577,USD
WB_WDI_NY_GDP_PCAP_CD,1966,282.885345,USD
WB_WDI_NY_GDP_PCAP_CD,1967,298.155995,USD
WB_WDI_NY_GDP_PCAP_CD,1968,314.474383,USD
WB_WDI_NY_GDP_PCAP_CD,1969,316.220454,USD
WB_WDI_NY_GDP_PCAP_CD,1970,328.787243,USD
WB_WDI_NY_GDP_PCAP_CD,1971,338.1234,USD
WB_WDI_NY_GDP_PCAP_CD,1972,352.711427,USD
WB_WDI_NY_GDP_PCAP_CD,1973,374.668702,USD
WB_WDI_NY_GDP_PCAP_CD,1974,400.988956,USD
WB_WDI_NY_GDP_PCAP_CD,1975,416.521307,USD
WB_WDI_NY_GDP_PCAP_CD,1976,482.416374,USD
WB_WDI_NY_GDP_PCAP_CD,1977,559.250645,USD
WB_WDI_NY_GDP_PCAP_CD,1978,682.834193,USD
WB_WDI_NY_GDP_PCAP_CD,1979,768.717733,USD
WB_WDI_NY_GDP_PCAP_CD,1980,854.374079,USD
WB_WDI_NY_GDP_PCAP_CD,1981,911.505038,USD
WB_WDI_NY_GDP_PCAP_CD,1982,914.308839,USD
WB_WDI_NY_GDP_PCAP_CD,1983,941.732746,USD
WB_WDI_NY_GDP_PCAP_CD,1984,959.534269,USD
WB_WDI_NY_GDP_PCAP_CD,1985,1001.146798,USD
WB_WDI_NY_GDP_PCAP_CD,1986,1057.812281,USD
WB_WDI_NY_GDP_PCAP_CD,1987,1097.858599,USD
WB_WDI_NY_GDP_PCAP_CD,1988,1039.294103,USD
WB_WDI_NY_GDP_PCAP_CD,1989,903.76765,USD
WB_WDI_NY_GDP_PCAP_CD,1990,749.818114,USD
WB_WDI_NY_GDP_PCAP_CD,1991,722.000658,USD
WB_WDI_NY_GDP_PCAP_CD,1992,782.111519,USD
WB_WDI_NY_GDP_PCAP_CD,1993,772.742248,USD
WB_WDI_NY_GDP_PCAP_CD,1994,735.886147,USD
WB_WDI_NY_GDP_PCAP_CD,1995,814.049076,USD
WB_WDI_NY_GDP_PCAP_CD,1996,812.817048,USD
WB_WDI_NY_GDP_PCAP_CD,1997,917.272651,USD
WB_WDI_NY_GDP_PCAP_CD,1998,988.655987,USD
WB_WDI_NY_GDP_PCAP_CD,1999,999.004383,USD
WB_WDI_NY_GDP_PCAP_CD,2000,1092.564007,USD
WB_WDI_NY_GDP_PCAP_CD,2001,1132.164875,USD
WB_WDI_NY_GDP_PCAP_CD,2002,1132.499653,USD
WB_WDI_NY_GDP_PCAP_CD,2003,1156.081627,USD
WB_WDI_NY_GDP_PCAP_CD,2004,1215.139954,USD
WB_WDI_NY_GDP_PCAP_CD,2005,1304.700392,USD
WB_WDI_NY_GDP_PCAP_CD,2006,1425.847801,USD
WB_WDI_NY_GDP_PCAP_CD,2007,1577.737892,USD
WB_WDI_NY_GDP_PCAP_CD,2008,1732.490627,USD
WB_WDI_NY_GDP_PCAP_CD,2009,1781.157036,USD
WB_WDI_NY_GDP_PCAP_CD,2010,1893.327227,USD
WB_WDI_NY_GDP_PCAP_CD,2011,2073.661211,USD
WB_WDI_NY_GDP_PCAP_CD,2012,2126.034747,USD
WB_WDI_NY_GDP_PCAP_CD,2013,2081.128435,USD
WB_WDI_NY_GDP_PCAP_CD,2014,2179.88172,USD
WB_WDI_NY_GDP_PCAP_CD,2015,2271.20266,USD
WB_WDI_NY_GDP_PCAP_CD,2016,2307.344684,USD
