indicator,time_period,value,unit_measure
GOV_WGI_CC,1996,-0.658179,U
GOV_WGI_CC,1998,-0.412542,U
GOV_WGI_CC,2000,-0.052013,U
GOV_WGI_CC,2002,-0.323118,U
GOV_WGI_CC,2003,-0.321736,U
GOV_WGI_CC,2004,-0.456165,U
GOV_WGI_CC,2005,-0.432437,U
GOV_WGI_CC,2006,-0.337979,U
GOV_WGI_CC,2007,-0.402558,U
GOV_WGI_CC,2008,-0.387131,U
GOV_WGI_CC,2009,-0.316012,U
GOV_WGI_CC,2010,-0.383217,U
GOV_WGI_CC,2011,-0.42475,U
GOV_WGI_CC,2012,-0.457957,U
GOV_WGI_CC,2013,-0.531278,U
GOV_WGI_CC,2014,-0.752898,U
GOV_WGI_CC,2015,-0.840904,U
GOV_WGI_CC,2016,-0.821167,U
GOV_WGI_CC,2017,-0.948133,U
GOV_WGI_CC,2018,-0.942749,U
GOV_WGI_CC,2019,-0.889652,U
GOV_WGI_CC,2020,-0.853792,U
GOV_WGI_CC,2021,-0.873387,U
GOV_WGI_CC,2022,-0.875754,U
GOV_WGI_CC,2023,-0.932163,U
GOV_WGI_CC,2024,-0.940877,U
GOV_WGI_GE,1996,-0.413603,U
GOV_WGI_GE,1998,0.037653,U
GOV_WGI_GE,2000,0.01828,U
GOV_WGI_GE,2002,-0.31513,U
GOV_WGI_GE,2003,-0.270301,U
GOV_WGI_GE,2004,-0.243361,U
GOV_WGI_GE,2005,-0.130268,U
GOV_WGI_GE,2006,-0.085116,U
GOV_WGI_GE,2007,-0.159786,U
GOV_WGI_GE,2008,0.006614,U
GOV_WGI_GE,2009,0.103917,U
GOV_WGI_GE,2010,-0.070423,U
GOV_WGI_GE,2011,0.0989,U
GOV_WGI_GE,2012,0.198193,U
GOV_WGI_GE,2013,0.222828,U
GOV_WGI_GE,2014,0.131427,U
GOV_WGI_GE,2015,0.099996,U
GOV_WGI_GE,2016,0.12806,U
GOV_WGI_GE,2017,0.009986,U
GOV_WGI_GE,2018,-0.026929,U
GOV_WGI_GE,2019,-0.008668,U
GOV_WGI_GE,2020,-0.046266,U
GOV_WGI_GE,2021,-0.045743,U
GOV_WGI_GE,2022,-0.087418,U
GOV_WGI_GE,2023,-0.074865,U
GOV_WGI_GE,2024,-0.219933,U
WB_CCDFS_GGDY,1996,42.537,PT
WB_CCDFS_GGDY,1997,39.12,PT
WB_CCDFS_GGDY,1998,39.708,PT
WB_CCDFS_GGDY,1999,41.667,PT
WB_CCDFS_GGDY,2000,38.455,PT
WB_CCDFS_GGDY,2001,37.315,PT
WB_CCDFS_GGDY,2002,39.866,PT
WB_CCDFS_GGDY,2003,42.133,PT
WB_CCDFS_GGDY,2004,38.906,PT
WB_CCDFS_GGDY,2005,36.841,PT
WB_CCDFS_GGDY,2006,35.777,PT
WB_CCDFS_GGDY,2007,35.529,PT
WB_CCDFS_GGDY,2008,40.605,PT
WB_CCDFS_GGDY,2009,41.667,PT
WB_CCDFS_GGDY,2010,40.155,PT
WB_CCDFS_GGDY,2011,41.167,PT
WB_CCDFS_GGDY,2012,40.815,PT
WB_CCDFS_GGDY,2013,44.066,PT
WB_CCDFS_GGDY,2014,47.093,PT
WB_CCDFS_GGDY,2015,50.973,PT
WB_CCDFS_GGDY,2016,55.003,PT
WB_CCDFS_GGDY,2017,52.521,PT
WB_CCDFS_GGDY,2018,52.202,PT
WB_CCDFS_GGDY,2019,51.858,PT
WB_CCDFS_GGDY,2020,58.51,PT
WB_CCDFS_GGDY,2021,56.917,PT
WB_CCDFS_GGDY,2022,54.073,PT
WB_WDI_BN_CAB_XOKA_GD_ZS,1979,-4.020608,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1980,-5.069632,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1981,-6.15623,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1982,-3.190096,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1983,3.756235,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1984,2.270522,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1985,0.40975,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1986,-1.023365,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1987,2.878492,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1988,-1.307188,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1989,-2.630948,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1990,-2.852017,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1991,-4.754428,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1992,-6.730407,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1993,-4.413756,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1994,-5.357863,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1995,-0.414681,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1996,-0.580285,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1997,-1.464313,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1998,-2.868838,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,1999,-2.217782,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2000,-2.527072,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2001,-2.230034,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2002,-1.529365,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2003,-0.526761,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2004,-0.464776,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2005,-0.623534,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2006,-0.316556,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2007,-0.844641,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2008,-1.406809,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2009,-0.750921,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2010,-0.339592,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2011,-0.857893,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2012,-1.409849,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2013,-2.39397,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2014,-1.821319,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2015,-2.599176,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2016,-2.273112,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2017,-1.797463,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2018,-2.064141,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2019,-0.296844,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2020,2.397103,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2021,-0.340709,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2022,-1.274267,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2023,-0.697558,PT_GDP
WB_WDI_BN_CAB_XOKA_GD_ZS,2024,-0.899378,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1970,0.87868,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1971,0.783163,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1972,0.394657,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1973,0.8267,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1974,0.706606,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1975,0.520922,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1976,0.823002,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1977,0.399333,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1978,0.641181,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1979,0.9901,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1980,1.01665,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1981,1.166803,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1982,1.02978,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1983,1.403626,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1984,0.836994,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1985,1.01618,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1986,1.783644,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1987,1.785248,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1988,1.585255,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1989,1.433584,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1990,1.008215,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1991,1.520727,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1992,1.209667,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1993,0.827862,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1994,1.981961,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1995,2.50588,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1996,2.125519,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1997,2.45101,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1998,2.288369,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,1999,2.208484,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2000,2.477192,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2001,3.776078,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2002,2.486858,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2003,2.37188,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2004,3.06821,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2005,2.742201,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2006,2.16893,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2007,2.813987,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2008,2.56308,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2009,2.083116,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2010,2.762237,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2011,1.944226,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2012,1.452589,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2013,3.836703,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2014,2.084157,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2015,2.987838,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2016,3.49768,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2017,2.783075,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2018,3.014179,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2019,2.296514,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2020,2.814009,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2021,2.705303,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2022,2.672673,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2023,1.706189,PT_GDP
WB_WDI_BX_KLT_DINV_WD_GD_ZS,2024,2.449665,PT_GDP
WB_WDI_FP_CPI_TOTL_ZG,1960,4.927519,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1961,1.60876,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1962,1.198984,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1963,0.594055,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1964,2.337903,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1965,3.568039,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1966,4.215788,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1967,3.016948,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1968,2.333951,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1969,3.367003,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1970,5.003412,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1971,5.469029,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1972,4.943692,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1973,12.081939,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1974,23.784015,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1975,14.944535,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1976,15.824722,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1977,29.064125,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1978,17.457293,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1979,18.191246,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1980,26.351651,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1981,27.933763,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1982,58.91342,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1983,101.874938,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1984,65.448807,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1985,57.748448,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1986,86.233317,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1987,131.827384,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1988,114.162259,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1989,20.007877,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1990,26.651673,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1991,22.662359,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1992,15.507896,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1993,9.75146,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1994,6.965812,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1995,34.999271,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1996,34.378383,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1997,20.625629,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1998,15.928395,PC_A
WB_WDI_FP_CPI_TOTL_ZG,1999,16.585617,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2000,9.491561,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2001,6.367738,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2002,5.030727,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2003,4.5469,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2004,4.688409,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2005,3.988057,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2006,3.629468,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2007,3.966849,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2008,5.124983,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2009,5.297356,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2010,4.156727,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2011,3.407378,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2012,4.11151,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2013,3.806391,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2014,4.018616,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2015,2.720641,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2016,2.821708,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2017,6.041457,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2018,4.89935,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2019,3.635961,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2020,3.396834,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2021,5.689208,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2022,7.896276,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2023,5.527961,PC_A
WB_WDI_FP_CPI_TOTL_ZG,2024,4.722256,PC_A
WB_WDI_GC_XPN_INTP_RV_ZS,1972,8.62069,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1973,10.294118,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1974,11.578947,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1975,10.447761,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1976,11.764706,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1977,13.278008,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1978,12.732919,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1979,12.072893,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1980,11.144131,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1981,19.336384,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1982,27.689243,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1983,54.192022,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1984,48.622471,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1985,59.879254,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1986,99.340075,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1987,114.436971,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1988,100.529649,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1989,66.083312,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1990,52.497021,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1991,30.602439,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1992,21.867526,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1993,16.249579,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1994,13.419373,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1995,18.860298,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1996,18.806716,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1997,15.118355,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1998,16.549672,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,1999,18.278167,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2000,13.959809,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2008,11.879447,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2009,13.956711,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2010,12.997932,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2011,11.615215,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2012,11.99208,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2013,12.003038,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2014,12.549271,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2015,11.329458,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2016,11.684321,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2017,13.619226,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2018,14.499616,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2019,14.095193,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2020,15.447815,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2021,15.825938,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2022,17.196605,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2023,18.549315,PT_REV
WB_WDI_GC_XPN_INTP_RV_ZS,2024,20.000111,PT_REV
WB_WDI_NY_GDP_MKTP_KD_ZG,1961,5,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1962,4.664415,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1963,8.106887,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1964,11.905481,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1965,7.1,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1966,6.096139,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1967,5.854925,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1968,9.423279,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1969,3.41862,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1970,6.502484,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1971,3.762468,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1972,8.228807,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1973,7.86112,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1974,5.776827,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1975,5.744485,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1976,4.417444,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1977,3.39064,PC_A
WB_WDI_NY_GDP_MKTP_KD_ZG,1978,8.956942,PC_A
